# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_1609.dat
#        q_A^-1             I 
  1.163185e-01    5.506764e+01
  1.213573e-01    5.295134e+01
  1.263961e-01    5.722233e+01
  1.314350e-01    5.458996e+01
  1.364738e-01    5.695004e+01
  1.415127e-01    5.622898e+01
  1.465515e-01    5.868802e+01
  1.515904e-01    5.668081e+01
  1.566292e-01    5.611599e+01
  1.616681e-01    5.623016e+01
  1.667069e-01    5.593258e+01
  1.717458e-01    5.587804e+01
  1.767846e-01    5.588208e+01
  1.818234e-01    5.557978e+01
  1.868623e-01    5.579070e+01
  1.919011e-01    5.552276e+01
  1.969400e-01    5.645333e+01
  2.019788e-01    5.744386e+01
  2.070177e-01    5.627542e+01
  2.120565e-01    5.632091e+01
  2.170954e-01    5.664211e+01
  2.221342e-01    5.723913e+01
  2.271730e-01    5.718139e+01
  2.322119e-01    5.855966e+01
  2.372507e-01    5.717614e+01
  2.422896e-01    5.726801e+01
  2.473284e-01    5.847155e+01
  2.523673e-01    5.771861e+01
  2.574061e-01    5.854745e+01
  2.624450e-01    5.856038e+01
  2.674838e-01    5.858304e+01
  2.725227e-01    5.800229e+01
  2.775615e-01    5.842009e+01
  2.826003e-01    5.824217e+01
  2.876392e-01    5.863854e+01
  2.926780e-01    5.920276e+01
  2.977169e-01    5.922091e+01
  3.027557e-01    5.905983e+01
  3.077946e-01    5.902280e+01
  3.128334e-01    5.950233e+01
  3.178723e-01    5.857001e+01
  3.229111e-01    5.900965e+01
  3.279500e-01    5.905914e+01
  3.329888e-01    5.925828e+01
  3.380276e-01    5.956585e+01
  3.430665e-01    5.902974e+01
  3.481053e-01    5.923462e+01
  3.531442e-01    5.965974e+01
  3.581830e-01    6.040499e+01
  3.632219e-01    5.981235e+01
  3.682607e-01    5.921088e+01
  3.732996e-01    6.024914e+01
  3.783384e-01    6.010667e+01
  3.833772e-01    5.952195e+01
  3.884161e-01    5.976654e+01
  3.934549e-01    5.985754e+01
  3.984938e-01    5.991363e+01
  4.035326e-01    5.999149e+01
  4.085715e-01    5.990033e+01
  4.136103e-01    5.986342e+01
  4.186492e-01    5.987666e+01
  4.236880e-01    5.953182e+01
  4.287269e-01    5.990046e+01
  4.337657e-01    5.997570e+01
  4.388045e-01    6.016418e+01
  4.438434e-01    5.992972e+01
  4.488822e-01    5.994743e+01
  4.539211e-01    5.978096e+01
  4.589599e-01    5.999124e+01
  4.639988e-01    6.006884e+01
  4.690376e-01    5.989163e+01
  4.740765e-01    5.974241e+01
  4.791153e-01    5.996728e+01
  4.841541e-01    5.982999e+01
  4.891930e-01    5.981273e+01
  4.942318e-01    5.980066e+01
  4.992707e-01    5.963093e+01
  5.043095e-01    5.965396e+01
  5.093484e-01    5.974608e+01
  5.143872e-01    6.010118e+01
  5.194261e-01    5.986804e+01
  5.244649e-01    6.024590e+01
  5.295038e-01    5.936564e+01
  5.345426e-01    6.001459e+01
  5.395814e-01    6.016723e+01
  5.446203e-01    5.995150e+01
  5.496591e-01    5.986094e+01
  5.546980e-01    5.956678e+01
  5.597368e-01    6.021076e+01
  5.647757e-01    5.990234e+01
  5.698145e-01    6.010776e+01
  5.748534e-01    5.899001e+01
  5.798922e-01    5.997569e+01
  5.849311e-01    5.956091e+01
  5.899699e-01    5.975311e+01
  5.950087e-01    5.964078e+01
  6.000476e-01    5.943980e+01
  6.050864e-01    5.938827e+01
  6.101253e-01    5.977940e+01
  6.151641e-01    5.913074e+01
  6.202030e-01    5.933896e+01
  6.252418e-01    5.929635e+01
  6.302807e-01    5.923918e+01
  6.353195e-01    5.958648e+01
  6.403583e-01    5.943695e+01
  6.453972e-01    5.942851e+01
  6.504360e-01    5.932700e+01
  6.554749e-01    5.929766e+01
  6.605137e-01    5.920572e+01
  6.655526e-01    5.928146e+01
  6.705914e-01    5.944400e+01
  6.756303e-01    5.900747e+01
  6.806691e-01    5.948921e+01
  6.857080e-01    5.906713e+01
  6.907468e-01    5.918075e+01
  6.957856e-01    5.891887e+01
  7.008245e-01    5.907768e+01
  7.058633e-01    5.923838e+01
  7.109022e-01    5.895555e+01
  7.159410e-01    5.915004e+01
  7.209799e-01    5.913004e+01
  7.260187e-01    5.894017e+01
  7.310576e-01    5.907164e+01
  7.360964e-01    5.866830e+01
  7.411353e-01    5.887793e+01
  7.461741e-01    5.916400e+01
  7.512129e-01    5.862966e+01
  7.562518e-01    5.877555e+01
  7.612906e-01    5.875945e+01
  7.663295e-01    5.884821e+01
  7.713683e-01    5.904721e+01
  7.764072e-01    5.886218e+01
  7.814460e-01    5.859082e+01
  7.864849e-01    5.903723e+01
  7.915237e-01    5.876591e+01
  7.965625e-01    5.857690e+01
  8.016014e-01    5.860548e+01
  8.066402e-01    5.882039e+01
  8.116791e-01    5.866014e+01
  8.167179e-01    5.860859e+01
  8.217568e-01    5.891273e+01
  8.267956e-01    5.899018e+01
  8.318345e-01    5.903526e+01
  8.368733e-01    5.853537e+01
  8.419122e-01    5.895059e+01
  8.469510e-01    5.879835e+01
  8.519898e-01    5.906488e+01
  8.570287e-01    5.844390e+01
  8.620675e-01    5.895826e+01
  8.671064e-01    5.871190e+01
  8.721452e-01    5.873874e+01
  8.771841e-01    5.896588e+01
  8.822229e-01    5.872985e+01
  8.872618e-01    5.904555e+01
  8.923006e-01    5.877130e+01
  8.973395e-01    5.883728e+01
  9.023783e-01    5.879049e+01
  9.074171e-01    5.911967e+01
  9.124560e-01    5.911180e+01
  9.174948e-01    5.897382e+01
  9.225337e-01    5.928014e+01
  9.275725e-01    5.922002e+01
  9.326114e-01    5.915321e+01
  9.376502e-01    5.928182e+01
  9.426891e-01    5.909768e+01
  9.477279e-01    5.868032e+01
  9.527667e-01    5.904453e+01
  9.578056e-01    5.929203e+01
  9.628444e-01    5.886188e+01
  9.678833e-01    5.910480e+01
  9.729221e-01    5.923574e+01
  9.779610e-01    5.912968e+01
  9.829998e-01    5.894772e+01
  9.880387e-01    5.955827e+01
  9.930775e-01    5.936267e+01
  9.981164e-01    5.924537e+01
  1.003155e+00    5.955439e+01
  1.008194e+00    5.927770e+01
  1.013233e+00    5.958593e+01
  1.018272e+00    5.939518e+01
  1.023311e+00    5.928842e+01
  1.028349e+00    5.893231e+01
  1.033388e+00    5.906814e+01
  1.038427e+00    5.914479e+01
  1.043466e+00    5.963159e+01
  1.048505e+00    5.939116e+01
  1.053544e+00    5.927307e+01
  1.058582e+00    5.942323e+01
  1.063621e+00    5.959896e+01
  1.068660e+00    5.935528e+01
  1.073699e+00    5.942543e+01
