# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_avg.dat
#        q_A^-1             I 
  1.163185e-01    4.499413e+01
  1.213573e-01    4.480273e+01
  1.263961e-01    4.517533e+01
  1.314350e-01    4.545057e+01
  1.364738e-01    4.600759e+01
  1.415127e-01    4.638697e+01
  1.465515e-01    4.670021e+01
  1.515904e-01    4.616650e+01
  1.566292e-01    4.541787e+01
  1.616681e-01    4.487499e+01
  1.667069e-01    4.476812e+01
  1.717458e-01    4.479234e+01
  1.767846e-01    4.497277e+01
  1.818234e-01    4.501131e+01
  1.868623e-01    4.523851e+01
  1.919011e-01    4.530979e+01
  1.969400e-01    4.545668e+01
  2.019788e-01    4.566055e+01
  2.070177e-01    4.580937e+01
  2.120565e-01    4.589628e+01
  2.170954e-01    4.606065e+01
  2.221342e-01    4.618899e+01
  2.271730e-01    4.633028e+01
  2.322119e-01    4.647116e+01
  2.372507e-01    4.661549e+01
  2.422896e-01    4.667616e+01
  2.473284e-01    4.681320e+01
  2.523673e-01    4.689805e+01
  2.574061e-01    4.697220e+01
  2.624450e-01    4.707929e+01
  2.674838e-01    4.716069e+01
  2.725227e-01    4.723976e+01
  2.775615e-01    4.728851e+01
  2.826003e-01    4.734136e+01
  2.876392e-01    4.739733e+01
  2.926780e-01    4.747439e+01
  2.977169e-01    4.757678e+01
  3.027557e-01    4.766109e+01
  3.077946e-01    4.774044e+01
  3.128334e-01    4.775374e+01
  3.178723e-01    4.781809e+01
  3.229111e-01    4.791554e+01
  3.279500e-01    4.797468e+01
  3.329888e-01    4.802430e+01
  3.380276e-01    4.813342e+01
  3.430665e-01    4.815327e+01
  3.481053e-01    4.817051e+01
  3.531442e-01    4.820250e+01
  3.581830e-01    4.822519e+01
  3.632219e-01    4.825012e+01
  3.682607e-01    4.828106e+01
  3.732996e-01    4.831105e+01
  3.783384e-01    4.834614e+01
  3.833772e-01    4.836225e+01
  3.884161e-01    4.837856e+01
  3.934549e-01    4.838995e+01
  3.984938e-01    4.839604e+01
  4.035326e-01    4.845426e+01
  4.085715e-01    4.846777e+01
  4.136103e-01    4.846219e+01
  4.186492e-01    4.851848e+01
  4.236880e-01    4.849569e+01
  4.287269e-01    4.852857e+01
  4.337657e-01    4.855630e+01
  4.388045e-01    4.853767e+01
  4.438434e-01    4.854300e+01
  4.488822e-01    4.858638e+01
  4.539211e-01    4.861523e+01
  4.589599e-01    4.862245e+01
  4.639988e-01    4.865847e+01
  4.690376e-01    4.864042e+01
  4.740765e-01    4.860812e+01
  4.791153e-01    4.861588e+01
  4.841541e-01    4.862567e+01
  4.891930e-01    4.866711e+01
  4.942318e-01    4.866955e+01
  4.992707e-01    4.864635e+01
  5.043095e-01    4.865030e+01
  5.093484e-01    4.862172e+01
  5.143872e-01    4.859423e+01
  5.194261e-01    4.860983e+01
  5.244649e-01    4.858040e+01
  5.295038e-01    4.858553e+01
  5.345426e-01    4.858155e+01
  5.395814e-01    4.859425e+01
  5.446203e-01    4.859268e+01
  5.496591e-01    4.858294e+01
  5.546980e-01    4.859006e+01
  5.597368e-01    4.860062e+01
  5.647757e-01    4.858069e+01
  5.698145e-01    4.853569e+01
  5.748534e-01    4.851662e+01
  5.798922e-01    4.848497e+01
  5.849311e-01    4.845900e+01
  5.899699e-01    4.846556e+01
  5.950087e-01    4.841938e+01
  6.000476e-01    4.840200e+01
  6.050864e-01    4.839682e+01
  6.101253e-01    4.836299e+01
  6.151641e-01    4.834812e+01
  6.202030e-01    4.834529e+01
  6.252418e-01    4.832958e+01
  6.302807e-01    4.833002e+01
  6.353195e-01    4.832990e+01
  6.403583e-01    4.823252e+01
  6.453972e-01    4.819936e+01
  6.504360e-01    4.818332e+01
  6.554749e-01    4.815884e+01
  6.605137e-01    4.812418e+01
  6.655526e-01    4.811961e+01
  6.705914e-01    4.810828e+01
  6.756303e-01    4.813046e+01
  6.806691e-01    4.815274e+01
  6.857080e-01    4.807307e+01
  6.907468e-01    4.804892e+01
  6.957856e-01    4.801660e+01
  7.008245e-01    4.798948e+01
  7.058633e-01    4.795684e+01
  7.109022e-01    4.792714e+01
  7.159410e-01    4.790275e+01
  7.209799e-01    4.788187e+01
  7.260187e-01    4.787629e+01
  7.310576e-01    4.784810e+01
  7.360964e-01    4.781696e+01
  7.411353e-01    4.779164e+01
  7.461741e-01    4.779187e+01
  7.512129e-01    4.776842e+01
  7.562518e-01    4.774718e+01
  7.612906e-01    4.771260e+01
  7.663295e-01    4.769810e+01
  7.713683e-01    4.771886e+01
  7.764072e-01    4.769036e+01
  7.814460e-01    4.767791e+01
  7.864849e-01    4.765354e+01
  7.915237e-01    4.765256e+01
  7.965625e-01    4.763395e+01
  8.016014e-01    4.765138e+01
  8.066402e-01    4.763653e+01
  8.116791e-01    4.766897e+01
  8.167179e-01    4.772367e+01
  8.217568e-01    4.790591e+01
  8.267956e-01    4.786922e+01
  8.318345e-01    4.783288e+01
  8.368733e-01    4.778904e+01
  8.419122e-01    4.777374e+01
  8.469510e-01    4.777577e+01
  8.519898e-01    4.776662e+01
  8.570287e-01    4.781072e+01
  8.620675e-01    4.778497e+01
  8.671064e-01    4.778626e+01
  8.721452e-01    4.790385e+01
  8.771841e-01    4.788572e+01
  8.822229e-01    4.784890e+01
  8.872618e-01    4.785254e+01
  8.923006e-01    4.782791e+01
  8.973395e-01    4.786048e+01
  9.023783e-01    4.789306e+01
  9.074171e-01    4.786193e+01
  9.124560e-01    4.784779e+01
  9.174948e-01    4.789837e+01
  9.225337e-01    4.790410e+01
  9.275725e-01    4.787923e+01
  9.326114e-01    4.791800e+01
  9.376502e-01    4.791565e+01
  9.426891e-01    4.795258e+01
  9.477279e-01    4.798389e+01
  9.527667e-01    4.812204e+01
  9.578056e-01    4.829384e+01
  9.628444e-01    4.805140e+01
  9.678833e-01    4.804335e+01
  9.729221e-01    4.806503e+01
  9.779610e-01    4.809628e+01
  9.829998e-01    4.808499e+01
  9.880387e-01    4.812397e+01
  9.930775e-01    4.813625e+01
  9.981164e-01    4.813135e+01
  1.003155e+00    4.815681e+01
  1.008194e+00    4.811818e+01
  1.013233e+00    4.815105e+01
  1.018272e+00    4.816599e+01
  1.023311e+00    4.815699e+01
  1.028349e+00    4.814531e+01
  1.033388e+00    4.818250e+01
  1.038427e+00    4.816385e+01
  1.043466e+00    4.817846e+01
  1.048505e+00    4.817680e+01
  1.053544e+00    4.818211e+01
  1.058582e+00    4.818451e+01
  1.063621e+00    4.816244e+01
  1.068660e+00    4.816812e+01
  1.073699e+00    4.816568e+01
  1.078738e+00    4.814143e+01
  1.083777e+00    4.815658e+01
  1.088816e+00    4.814098e+01
  1.093854e+00    4.811005e+01
  1.098893e+00    4.810929e+01
  1.103932e+00    4.815050e+01
  1.108971e+00    4.809137e+01
  1.114010e+00    4.804703e+01
  1.119049e+00    4.802509e+01
  1.124087e+00    4.801367e+01
  1.129126e+00    4.797349e+01
  1.134165e+00    4.797026e+01
  1.139204e+00    4.795230e+01
  1.144243e+00    4.791908e+01
  1.149282e+00    4.789612e+01
  1.154321e+00    4.788560e+01
  1.159359e+00    4.785117e+01
  1.164398e+00    4.777382e+01
  1.169437e+00    4.776201e+01
  1.174476e+00    4.774759e+01
  1.179515e+00    4.772534e+01
  1.184554e+00    4.767311e+01
  1.189592e+00    4.766021e+01
  1.194631e+00    4.761872e+01
  1.199670e+00    4.755634e+01
  1.204709e+00    4.878042e+01
  1.209748e+00    4.749782e+01
  1.214787e+00    4.743999e+01
  1.219826e+00    4.743026e+01
  1.224864e+00    4.737510e+01
  1.229903e+00    4.733913e+01
  1.234942e+00    4.731792e+01
  1.239981e+00    4.724819e+01
  1.245020e+00    4.721811e+01
  1.250059e+00    4.716906e+01
  1.255097e+00    4.722285e+01
