# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_3073.dat
#        q_A^-1             I 
  1.163185e-01    5.317239e+01
  1.213573e-01    5.223999e+01
  1.263961e-01    5.351180e+01
  1.314350e-01    5.509018e+01
  1.364738e-01    5.452027e+01
  1.415127e-01    5.534067e+01
  1.465515e-01    5.546160e+01
  1.515904e-01    5.447211e+01
  1.566292e-01    5.505183e+01
  1.616681e-01    5.409351e+01
  1.667069e-01    5.440870e+01
  1.717458e-01    5.456777e+01
  1.767846e-01    5.448235e+01
  1.818234e-01    5.470181e+01
  1.868623e-01    5.522858e+01
  1.919011e-01    5.430674e+01
  1.969400e-01    5.519149e+01
  2.019788e-01    5.551652e+01
  2.070177e-01    5.592315e+01
  2.120565e-01    5.529925e+01
  2.170954e-01    5.645412e+01
  2.221342e-01    5.665805e+01
  2.271730e-01    5.639950e+01
  2.322119e-01    5.581312e+01
  2.372507e-01    5.671572e+01
  2.422896e-01    5.793175e+01
  2.473284e-01    5.689175e+01
  2.523673e-01    5.741621e+01
  2.574061e-01    5.694310e+01
  2.624450e-01    5.788869e+01
  2.674838e-01    5.734826e+01
  2.725227e-01    5.771031e+01
  2.775615e-01    5.712306e+01
  2.826003e-01    5.786817e+01
  2.876392e-01    5.814068e+01
  2.926780e-01    5.792603e+01
  2.977169e-01    5.757829e+01
  3.027557e-01    5.822875e+01
  3.077946e-01    5.837121e+01
