# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_sp_avg.dat
#       q_nm^-1             I 
  2.336148e-01    5.773935e+01
  2.760674e-01    4.738714e+01
  3.185201e-01    4.192344e+01
  3.609727e-01    3.752236e+01
  4.034253e-01    3.414017e+01
  4.458779e-01    3.153554e+01
  4.883306e-01    2.943512e+01
  5.307832e-01    2.765263e+01
  5.732358e-01    2.605502e+01
  6.156884e-01    2.460636e+01
  6.581411e-01    2.328400e+01
  7.005937e-01    2.214614e+01
  7.430463e-01    2.115331e+01
  7.854989e-01    2.026600e+01
  8.279516e-01    1.953999e+01
  8.704042e-01    1.884538e+01
  9.128568e-01    1.832294e+01
  9.553094e-01    1.784755e+01
  9.977621e-01    1.745788e+01
  1.040215e+00    1.714838e+01
  1.082667e+00    1.690891e+01
  1.125120e+00    1.677759e+01
  1.167573e+00    1.668074e+01
  1.210025e+00    1.667406e+01
  1.252478e+00    1.672841e+01
  1.294930e+00    1.689713e+01
  1.337383e+00    1.719548e+01
  1.379836e+00    1.762054e+01
  1.422288e+00    1.836983e+01
  1.464741e+00    1.956231e+01
  1.507194e+00    2.181441e+01
  1.549646e+00    3.688622e+01
  1.592099e+00    1.293150e+02
  1.634551e+00    2.212043e+02
  1.677004e+00    1.341495e+02
  1.719457e+00    4.561110e+01
  1.761909e+00    3.148261e+01
  1.804362e+00    2.769949e+01
  1.846815e+00    2.551553e+01
  1.889267e+00    2.414846e+01
  1.931720e+00    2.309850e+01
  1.974172e+00    2.233013e+01
  2.016625e+00    2.172478e+01
  2.059078e+00    2.125623e+01
  2.101530e+00    2.083969e+01
  2.143983e+00    2.048185e+01
  2.186436e+00    2.016116e+01
  2.228888e+00    1.991161e+01
  2.271341e+00    1.967894e+01
  2.313793e+00    1.945956e+01
  2.356246e+00    1.927382e+01
  2.398699e+00    1.910770e+01
  2.441151e+00    1.894678e+01
  2.483604e+00    1.881866e+01
  2.526057e+00    1.870321e+01
  2.568509e+00    1.859745e+01
  2.610962e+00    1.851558e+01
  2.653414e+00    1.845458e+01
  2.695867e+00    1.839867e+01
  2.738320e+00    1.835762e+01
  2.780772e+00    1.834557e+01
  2.823225e+00    1.834245e+01
  2.865678e+00    1.835484e+01
  2.908130e+00    1.839124e+01
  2.950583e+00    1.848220e+01
  2.993035e+00    1.857627e+01
  3.035488e+00    1.873336e+01
  3.077941e+00    1.895569e+01
  3.120393e+00    1.932701e+01
  3.162846e+00    2.006892e+01
  3.205299e+00    2.236334e+01
  3.247751e+00    2.622832e+01
  3.290204e+00    2.651472e+01
  3.332656e+00    2.306284e+01
  3.375109e+00    2.083185e+01
  3.417562e+00    1.999950e+01
  3.460014e+00    1.962406e+01
  3.502467e+00    1.948994e+01
  3.544920e+00    1.954152e+01
  3.587372e+00    1.974061e+01
  3.629825e+00    2.013473e+01
  3.672277e+00    2.067097e+01
  3.714730e+00    2.133404e+01
  3.757183e+00    2.217462e+01
  3.799635e+00    2.312977e+01
  3.842088e+00    2.415743e+01
  3.884541e+00    2.509937e+01
  3.926993e+00    2.595025e+01
  3.969446e+00    2.639537e+01
  4.011898e+00    2.641168e+01
  4.054351e+00    2.580027e+01
  4.096804e+00    2.481520e+01
  4.139256e+00    2.357012e+01
  4.181709e+00    2.224913e+01
  4.224162e+00    2.104569e+01
  4.266614e+00    2.000167e+01
  4.309067e+00    1.917032e+01
  4.351519e+00    1.855474e+01
  4.393972e+00    1.806557e+01
  4.436425e+00    1.763549e+01
  4.478877e+00    1.729795e+01
  4.521330e+00    1.698852e+01
  4.563783e+00    1.675237e+01
  4.606235e+00    1.650411e+01
  4.648688e+00    1.626672e+01
  4.691140e+00    1.603063e+01
  4.733593e+00    1.579928e+01
  4.776046e+00    1.557746e+01
  4.818498e+00    1.535356e+01
  4.860951e+00    1.514097e+01
  4.903404e+00    1.492246e+01
  4.945856e+00    1.471641e+01
  4.988309e+00    1.451682e+01
  5.030761e+00    1.433427e+01
  5.073214e+00    1.413268e+01
  5.115667e+00    1.393933e+01
  5.158119e+00    1.375569e+01
  5.200572e+00    1.356674e+01
  5.243025e+00    1.340337e+01
  5.285477e+00    1.324436e+01
  5.327930e+00    1.308559e+01
  5.370382e+00    1.292146e+01
  5.412835e+00    1.277638e+01
  5.455288e+00    1.262025e+01
  5.497740e+00    1.247979e+01
  5.540193e+00    1.235753e+01
  5.582646e+00    1.222340e+01
  5.625098e+00    1.210194e+01
  5.667551e+00    1.198335e+01
  5.710003e+00    1.187008e+01
  5.752456e+00    1.175556e+01
  5.794909e+00    1.165581e+01
  5.837361e+00    1.156047e+01
  5.879814e+00    1.146914e+01
  5.922267e+00    1.137783e+01
  5.964719e+00    1.129775e+01
  6.007172e+00    1.121581e+01
  6.049624e+00    1.113502e+01
  6.092077e+00    1.106797e+01
  6.134530e+00    1.100160e+01
  6.176982e+00    1.094376e+01
  6.219435e+00    1.088416e+01
  6.261888e+00    1.082948e+01
  6.304340e+00    1.077643e+01
  6.346793e+00    1.072899e+01
  6.389245e+00    1.068853e+01
  6.431698e+00    1.064851e+01
  6.474151e+00    1.061236e+01
  6.516603e+00    1.058107e+01
  6.559056e+00    1.055267e+01
  6.601509e+00    1.052691e+01
  6.643961e+00    1.050799e+01
  6.686414e+00    1.049136e+01
  6.728866e+00    1.047394e+01
  6.771319e+00    1.046432e+01
  6.813772e+00    1.045494e+01
  6.856224e+00    1.044635e+01
  6.898677e+00    1.044312e+01
  6.941130e+00    1.044819e+01
  6.983582e+00    1.044859e+01
  7.026035e+00    1.045015e+01
  7.068487e+00    1.046411e+01
  7.110940e+00    1.047661e+01
  7.153393e+00    1.049171e+01
  7.195845e+00    1.050773e+01
  7.238298e+00    1.053262e+01
  7.280751e+00    1.055496e+01
  7.323203e+00    1.059341e+01
  7.365656e+00    1.063503e+01
  7.408108e+00    1.067869e+01
  7.450561e+00    1.073908e+01
  7.493014e+00    1.080060e+01
  7.535466e+00    1.087533e+01
  7.577919e+00    1.095103e+01
  7.620372e+00    1.103905e+01
  7.662824e+00    1.113153e+01
  7.705277e+00    1.121693e+01
  7.747729e+00    1.129896e+01
  7.790182e+00    1.136720e+01
  7.832635e+00    1.142255e+01
  7.875087e+00    1.145971e+01
  7.917540e+00    1.147596e+01
  7.959993e+00    1.147225e+01
  8.002445e+00    1.146103e+01
  8.044898e+00    1.142845e+01
  8.087350e+00    1.140081e+01
  8.129803e+00    1.136872e+01
  8.172256e+00    1.134184e+01
  8.214708e+00    1.132129e+01
  8.257161e+00    1.130538e+01
  8.299614e+00    1.129739e+01
  8.342066e+00    1.129648e+01
  8.384519e+00    1.130439e+01
  8.426971e+00    1.131164e+01
  8.469424e+00    1.132337e+01
  8.511877e+00    1.134014e+01
  8.554329e+00    1.135185e+01
  8.596782e+00    1.136820e+01
  8.639235e+00    1.138204e+01
  8.681687e+00    1.140078e+01
  8.724140e+00    1.141513e+01
  8.766592e+00    1.143326e+01
  8.809045e+00    1.144876e+01
  8.851498e+00    1.146936e+01
  8.893950e+00    1.149077e+01
  8.936403e+00    1.151290e+01
  8.978856e+00    1.154026e+01
  9.021308e+00    1.156704e+01
  9.063761e+00    1.159722e+01
  9.106213e+00    1.162764e+01
  9.148666e+00    1.185450e+01
  9.191119e+00    1.170494e+01
  9.233571e+00    1.174759e+01
  9.276024e+00    1.179747e+01
  9.318477e+00    1.183581e+01
  9.360929e+00    1.188892e+01
  9.403382e+00    1.194444e+01
  9.445834e+00    1.200728e+01
  9.488287e+00    1.207005e+01
  9.530740e+00    1.214396e+01
  9.573192e+00    1.222013e+01
  9.615645e+00    1.229416e+01
  9.658098e+00    1.237316e+01
  9.700550e+00    1.245325e+01
  9.743003e+00    1.253392e+01
  9.785455e+00    1.261880e+01
  9.827908e+00    1.270198e+01
  9.870361e+00    1.278372e+01
  9.912813e+00    1.285351e+01
  9.955266e+00    1.294060e+01
  9.997719e+00    1.301992e+01
  1.004017e+01    1.310366e+01
  1.008262e+01    1.318022e+01
  1.012508e+01    1.325970e+01
  1.016753e+01    1.334645e+01
  1.020998e+01    1.342976e+01
  1.025243e+01    1.351141e+01
  1.029489e+01    1.360411e+01
  1.033734e+01    1.368466e+01
  1.037979e+01    1.377513e+01
  1.042224e+01    1.385803e+01
  1.046470e+01    1.393647e+01
  1.050715e+01    1.401281e+01
  1.054960e+01    1.407714e+01
  1.059206e+01    1.414587e+01
  1.063451e+01    1.420304e+01
  1.067696e+01    1.426354e+01
  1.071941e+01    1.431674e+01
  1.076187e+01    1.437494e+01
  1.080432e+01    1.443139e+01
  1.084677e+01    1.449673e+01
  1.088922e+01    1.456468e+01
  1.093168e+01    1.464016e+01
  1.097413e+01    1.472139e+01
  1.101658e+01    1.481217e+01
  1.105903e+01    1.491129e+01
  1.110149e+01    1.501785e+01
  1.114394e+01    1.512539e+01
  1.118639e+01    1.522952e+01
  1.122884e+01    1.535638e+01
  1.127130e+01    1.548341e+01
  1.131375e+01    1.560827e+01
  1.135620e+01    1.573712e+01
  1.139866e+01    1.585966e+01
  1.144111e+01    1.598391e+01
  1.148356e+01    1.610988e+01
  1.152601e+01    1.624383e+01
  1.156847e+01    1.636669e+01
