# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_empty_avg.dat
#       q_nm^-1             I 
  2.336148e-01    5.976340e+01
  2.760674e-01    4.653461e+01
  3.185201e-01    3.995535e+01
  3.609727e-01    3.517241e+01
  4.034253e-01    3.182475e+01
  4.458779e-01    2.928211e+01
  4.883306e-01    2.731809e+01
  5.307832e-01    2.562033e+01
  5.732358e-01    2.404234e+01
  6.156884e-01    2.259048e+01
  6.581411e-01    2.123475e+01
  7.005937e-01    2.002013e+01
  7.430463e-01    1.894540e+01
  7.854989e-01    1.794227e+01
  8.279516e-01    1.711503e+01
  8.704042e-01    1.631164e+01
  9.128568e-01    1.566216e+01
  9.553094e-01    1.504752e+01
  9.977621e-01    1.451889e+01
  1.040215e+00    1.403371e+01
  1.082667e+00    1.360026e+01
  1.125120e+00    1.324530e+01
  1.167573e+00    1.290615e+01
  1.210025e+00    1.261228e+01
  1.252478e+00    1.234221e+01
  1.294930e+00    1.209315e+01
  1.337383e+00    1.186947e+01
  1.379836e+00    1.166280e+01
  1.422288e+00    1.149927e+01
  1.464741e+00    1.134114e+01
  1.507194e+00    1.118850e+01
  1.549646e+00    1.104833e+01
  1.592099e+00    1.092599e+01
  1.634551e+00    1.082146e+01
  1.677004e+00    1.072496e+01
  1.719457e+00    1.062613e+01
  1.761909e+00    1.055960e+01
  1.804362e+00    1.049446e+01
  1.846815e+00    1.041798e+01
  1.889267e+00    1.037563e+01
  1.931720e+00    1.032639e+01
  1.974172e+00    1.028240e+01
  2.016625e+00    1.024750e+01
  2.059078e+00    1.021986e+01
  2.101530e+00    1.020528e+01
  2.143983e+00    1.018944e+01
  2.186436e+00    1.017668e+01
  2.228888e+00    1.018408e+01
  2.271341e+00    1.018401e+01
  2.313793e+00    1.018924e+01
  2.356246e+00    1.020643e+01
  2.398699e+00    1.022723e+01
  2.441151e+00    1.024638e+01
  2.483604e+00    1.027706e+01
  2.526057e+00    1.030739e+01
  2.568509e+00    1.034376e+01
  2.610962e+00    1.038552e+01
  2.653414e+00    1.043466e+01
  2.695867e+00    1.048604e+01
  2.738320e+00    1.054631e+01
  2.780772e+00    1.060901e+01
  2.823225e+00    1.068078e+01
  2.865678e+00    1.075005e+01
  2.908130e+00    1.082625e+01
  2.950583e+00    1.090873e+01
  2.993035e+00    1.099377e+01
  3.035488e+00    1.108187e+01
  3.077941e+00    1.117175e+01
  3.120393e+00    1.127938e+01
  3.162846e+00    1.137806e+01
  3.205299e+00    1.149932e+01
  3.247751e+00    1.162734e+01
  3.290204e+00    1.177625e+01
  3.332656e+00    1.193477e+01
  3.375109e+00    1.212953e+01
  3.417562e+00    1.236593e+01
  3.460014e+00    1.265603e+01
  3.502467e+00    1.302604e+01
  3.544920e+00    1.348508e+01
  3.587372e+00    1.406409e+01
  3.629825e+00    1.478399e+01
  3.672277e+00    1.566341e+01
  3.714730e+00    1.667646e+01
  3.757183e+00    1.785202e+01
  3.799635e+00    1.917946e+01
  3.842088e+00    2.058417e+01
  3.884541e+00    2.188497e+01
  3.926993e+00    2.308530e+01
  3.969446e+00    2.383332e+01
  4.011898e+00    2.404292e+01
  4.054351e+00    2.348882e+01
  4.096804e+00    2.243046e+01
  4.139256e+00    2.103299e+01
  4.181709e+00    1.951205e+01
  4.224162e+00    1.810373e+01
  4.266614e+00    1.687547e+01
  4.309067e+00    1.591643e+01
  4.351519e+00    1.520706e+01
  4.393972e+00    1.467315e+01
  4.436425e+00    1.421225e+01
  4.478877e+00    1.386740e+01
  4.521330e+00    1.357471e+01
  4.563783e+00    1.333831e+01
  4.606235e+00    1.309886e+01
  4.648688e+00    1.286556e+01
  4.691140e+00    1.263135e+01
  4.733593e+00    1.239907e+01
  4.776046e+00    1.217992e+01
  4.818498e+00    1.194702e+01
  4.860951e+00    1.173271e+01
  4.903404e+00    1.149626e+01
  4.945856e+00    1.127620e+01
  4.988309e+00    1.105325e+01
  5.030761e+00    1.085708e+01
  5.073214e+00    1.064168e+01
  5.115667e+00    1.042502e+01
  5.158119e+00    1.021189e+01
  5.200572e+00    1.001885e+01
  5.243025e+00    9.826210e+00
  5.285477e+00    9.635158e+00
  5.327930e+00    9.451404e+00
  5.370382e+00    9.259320e+00
  5.412835e+00    9.081776e+00
  5.455288e+00    8.904935e+00
  5.497740e+00    8.736173e+00
  5.540193e+00    8.577836e+00
  5.582646e+00    8.420936e+00
  5.625098e+00    8.270267e+00
  5.667551e+00    8.126606e+00
  5.710003e+00    7.984945e+00
  5.752456e+00    7.848916e+00
  5.794909e+00    7.720802e+00
  5.837361e+00    7.593936e+00
  5.879814e+00    7.474125e+00
  5.922267e+00    7.361193e+00
  5.964719e+00    7.255180e+00
  6.007172e+00    7.146080e+00
  6.049624e+00    7.048213e+00
  6.092077e+00    6.952420e+00
  6.134530e+00    6.861833e+00
  6.176982e+00    6.783677e+00
  6.219435e+00    6.697494e+00
  6.261888e+00    6.620681e+00
  6.304340e+00    6.547058e+00
  6.346793e+00    6.474224e+00
  6.389245e+00    6.412926e+00
  6.431698e+00    6.354231e+00
  6.474151e+00    6.297194e+00
  6.516603e+00    6.245977e+00
  6.559056e+00    6.194257e+00
  6.601509e+00    6.149665e+00
