# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_spd_avg.dat
#       q_nm^-1             I 
  2.336148e-01    3.983777e+05
  2.760674e-01    1.669133e+05
  3.185201e-01    2.218517e+05
  3.609727e-01    4.145088e+05
  4.034253e-01    1.738532e+04
  4.458779e-01    1.552923e+03
  4.883306e-01    1.600493e+03
  5.307832e-01    1.514852e+03
  5.732358e-01    1.295055e+03
  6.156884e-01    1.067589e+03
  6.581411e-01    8.829886e+02
  7.005937e-01    7.410829e+02
  7.430463e-01    6.296225e+02
  7.854989e-01    5.384878e+02
  8.279516e-01    4.643083e+02
  8.704042e-01    4.016913e+02
  9.128568e-01    3.510522e+02
  9.553094e-01    3.070162e+02
  9.977621e-01    2.703959e+02
  1.040215e+00    2.389640e+02
  1.082667e+00    2.121964e+02
  1.125120e+00    1.891560e+02
  1.167573e+00    1.687160e+02
  1.210025e+00    1.511516e+02
  1.252478e+00    1.360986e+02
  1.294930e+00    1.226854e+02
  1.337383e+00    1.107521e+02
  1.379836e+00    1.004059e+02
  1.422288e+00    9.136401e+01
  1.464741e+00    8.338750e+01
  1.507194e+00    7.614800e+01
  1.549646e+00    6.977928e+01
  1.592099e+00    6.425138e+01
  1.634551e+00    5.932971e+01
  1.677004e+00    5.494646e+01
  1.719457e+00    5.108695e+01
  1.761909e+00    4.766249e+01
  1.804362e+00    4.473853e+01
  1.846815e+00    4.203817e+01
  1.889267e+00    3.973884e+01
  1.931720e+00    3.769273e+01
  1.974172e+00    3.590057e+01
  2.016625e+00    3.433121e+01
  2.059078e+00    3.296825e+01
  2.101530e+00    3.178476e+01
  2.143983e+00    3.075130e+01
  2.186436e+00    2.984739e+01
  2.228888e+00    2.909168e+01
  2.271341e+00    2.842813e+01
  2.313793e+00    2.785942e+01
  2.356246e+00    2.734990e+01
  2.398699e+00    2.695021e+01
  2.441151e+00    2.657965e+01
  2.483604e+00    2.626917e+01
  2.526057e+00    2.600708e+01
  2.568509e+00    2.576651e+01
  2.610962e+00    2.556590e+01
  2.653414e+00    2.539380e+01
  2.695867e+00    2.523655e+01
  2.738320e+00    2.511383e+01
  2.780772e+00    2.498905e+01
  2.823225e+00    2.487584e+01
  2.865678e+00    2.476641e+01
  2.908130e+00    2.467064e+01
  2.950583e+00    2.457511e+01
  2.993035e+00    2.447866e+01
  3.035488e+00    2.438181e+01
  3.077941e+00    2.428743e+01
  3.120393e+00    2.419405e+01
  3.162846e+00    2.408740e+01
  3.205299e+00    2.400584e+01
  3.247751e+00    2.389674e+01
  3.290204e+00    2.381967e+01
  3.332656e+00    2.373728e+01
  3.375109e+00    2.367007e+01
  3.417562e+00    2.364109e+01
  3.460014e+00    2.364127e+01
  3.502467e+00    2.368865e+01
  3.544920e+00    2.383095e+01
  3.587372e+00    2.404147e+01
  3.629825e+00    2.439232e+01
  3.672277e+00    2.483989e+01
  3.714730e+00    2.539312e+01
  3.757183e+00    2.611051e+01
  3.799635e+00    2.693329e+01
  3.842088e+00    2.781634e+01
  3.884541e+00    2.860962e+01
  3.926993e+00    2.932677e+01
  3.969446e+00    2.965200e+01
  4.011898e+00    2.954753e+01
  4.054351e+00    2.881017e+01
  4.096804e+00    2.766441e+01
  4.139256e+00    2.626389e+01
  4.181709e+00    2.477358e+01
  4.224162e+00    2.339209e+01
  4.266614e+00    2.217465e+01
  4.309067e+00    2.118979e+01
  4.351519e+00    2.043894e+01
  4.393972e+00    1.984325e+01
  4.436425e+00    1.930999e+01
  4.478877e+00    1.888071e+01
  4.521330e+00    1.849938e+01
  4.563783e+00    1.819483e+01
  4.606235e+00    1.790417e+01
  4.648688e+00    1.763208e+01
  4.691140e+00    1.735507e+01
  4.733593e+00    1.710782e+01
  4.776046e+00    1.686427e+01
  4.818498e+00    1.663433e+01
  4.860951e+00    1.641516e+01
  4.903404e+00    1.619551e+01
  4.945856e+00    1.599903e+01
  4.988309e+00    1.580093e+01
  5.030761e+00    1.564692e+01
  5.073214e+00    1.547794e+01
  5.115667e+00    1.531503e+01
  5.158119e+00    1.515023e+01
  5.200572e+00    1.499085e+01
  5.243025e+00    1.485375e+01
  5.285477e+00    1.472091e+01
  5.327930e+00    1.458766e+01
  5.370382e+00    1.445693e+01
  5.412835e+00    1.433761e+01
  5.455288e+00    1.420821e+01
  5.497740e+00    1.409793e+01
  5.540193e+00    1.400253e+01
  5.582646e+00    1.388714e+01
  5.625098e+00    1.379395e+01
  5.667551e+00    1.369865e+01
  5.710003e+00    1.360916e+01
  5.752456e+00    1.351625e+01
  5.794909e+00    1.343931e+01
  5.837361e+00    1.335577e+01
  5.879814e+00    1.328123e+01
  5.922267e+00    1.320712e+01
  5.964719e+00    1.314175e+01
  6.007172e+00    1.307354e+01
  6.049624e+00    1.300631e+01
  6.092077e+00    1.295279e+01
  6.134530e+00    1.289532e+01
  6.176982e+00    1.284877e+01
  6.219435e+00    1.279438e+01
  6.261888e+00    1.275335e+01
  6.304340e+00    1.270980e+01
  6.346793e+00    1.266043e+01
  6.389245e+00    1.262785e+01
  6.431698e+00    1.259232e+01
  6.474151e+00    1.256021e+01
  6.516603e+00    1.253111e+01
  6.559056e+00    1.249977e+01
  6.601509e+00    1.248272e+01
  6.643961e+00    1.245702e+01
  6.686414e+00    1.244272e+01
  6.728866e+00    1.242716e+01
  6.771319e+00    1.241680e+01
  6.813772e+00    1.240350e+01
  6.856224e+00    1.240157e+01
  6.898677e+00    1.239075e+01
  6.941130e+00    1.238955e+01
  6.983582e+00    1.239118e+01
  7.026035e+00    1.238904e+01
  7.068487e+00    1.239941e+01
  7.110940e+00    1.240822e+01
  7.153393e+00    1.242209e+01
  7.195845e+00    1.243086e+01
  7.238298e+00    1.245078e+01
  7.280751e+00    1.247047e+01
  7.323203e+00    1.250334e+01
  7.365656e+00    1.254639e+01
  7.408108e+00    1.258702e+01
  7.450561e+00    1.264169e+01
  7.493014e+00    1.270033e+01
  7.535466e+00    1.277397e+01
  7.577919e+00    1.285309e+01
  7.620372e+00    1.294131e+01
  7.662824e+00    1.303713e+01
  7.705277e+00    1.312794e+01
  7.747729e+00    1.321815e+01
  7.790182e+00    1.329633e+01
  7.832635e+00    1.336883e+01
  7.875087e+00    1.341809e+01
  7.917540e+00    1.345656e+01
  7.959993e+00    1.347517e+01
  8.002445e+00    1.348018e+01
  8.044898e+00    1.347759e+01
  8.087350e+00    1.347197e+01
  8.129803e+00    1.346506e+01
  8.172256e+00    1.346033e+01
  8.214708e+00    1.346752e+01
  8.257161e+00    1.348278e+01
  8.299614e+00    1.351160e+01
  8.342066e+00    1.354977e+01
  8.384519e+00    1.359350e+01
  8.426971e+00    1.364191e+01
  8.469424e+00    1.370167e+01
  8.511877e+00    1.376347e+01
  8.554329e+00    1.382530e+01
  8.596782e+00    1.388862e+01
  8.639235e+00    1.396251e+01
  8.681687e+00    1.403672e+01
  8.724140e+00    1.411096e+01
  8.766592e+00    1.418653e+01
  8.809045e+00    1.426275e+01
  8.851498e+00    1.434428e+01
  8.893950e+00    1.442805e+01
  8.936403e+00    1.451343e+01
  8.978856e+00    1.460588e+01
  9.021308e+00    1.470431e+01
  9.063761e+00    1.480411e+01
  9.106213e+00    1.490358e+01
  9.148666e+00    1.520169e+01
  9.191119e+00    1.512335e+01
  9.233571e+00    1.523426e+01
  9.276024e+00    1.535734e+01
  9.318477e+00    1.546774e+01
  9.360929e+00    1.560355e+01
  9.403382e+00    1.572266e+01
  9.445834e+00    1.586873e+01
  9.488287e+00    1.600951e+01
  9.530740e+00    1.615959e+01
  9.573192e+00    1.631664e+01
  9.615645e+00    1.647174e+01
  9.658098e+00    1.663565e+01
  9.700550e+00    1.679957e+01
  9.743003e+00    1.696329e+01
  9.785455e+00    1.712703e+01
  9.827908e+00    1.729640e+01
  9.870361e+00    1.746846e+01
  9.912813e+00    1.762630e+01
  9.955266e+00    1.780681e+01
  9.997719e+00    1.797579e+01
  1.004017e+01    1.814739e+01
  1.008262e+01    1.831789e+01
  1.012508e+01    1.849283e+01
  1.016753e+01    1.866742e+01
  1.020998e+01    1.885432e+01
  1.025243e+01    1.903528e+01
  1.029489e+01    1.922082e+01
  1.033734e+01    1.940908e+01
  1.037979e+01    1.960179e+01
  1.042224e+01    1.978982e+01
  1.046470e+01    1.997257e+01
  1.050715e+01    2.015554e+01
  1.054960e+01    2.033460e+01
  1.059206e+01    2.051272e+01
  1.063451e+01    2.068183e+01
  1.067696e+01    2.085455e+01
  1.071941e+01    2.102517e+01
  1.076187e+01    2.119825e+01
  1.080432e+01    2.137760e+01
  1.084677e+01    2.155679e+01
  1.088922e+01    2.175382e+01
  1.093168e+01    2.195230e+01
  1.097413e+01    2.216257e+01
  1.101658e+01    2.238099e+01
  1.105903e+01    2.260953e+01
  1.110149e+01    2.285519e+01
  1.114394e+01    2.309948e+01
  1.118639e+01    2.333612e+01
  1.122884e+01    2.360951e+01
  1.127130e+01    2.389123e+01
  1.131375e+01    2.416231e+01
  1.135620e+01    2.445477e+01
  1.139866e+01    2.473391e+01
  1.144111e+01    2.503168e+01
  1.148356e+01    2.531304e+01
  1.152601e+01    2.562092e+01
  1.156847e+01    2.591349e+01
  1.161092e+01    2.622127e+01
  1.165337e+01    2.650864e+01
  1.169582e+01    2.681634e+01
  1.173828e+01    2.709599e+01
  1.178073e+01    2.741336e+01
  1.182318e+01    2.770846e+01
  1.186563e+01    2.802134e+01
  1.190809e+01    2.832978e+01
  1.195054e+01    2.862886e+01
  1.199299e+01    2.895522e+01
  1.203544e+01    2.928020e+01
  1.207790e+01    2.962698e+01
  1.212035e+01    2.995122e+01
  1.216280e+01    3.031356e+01
  1.220526e+01    3.066490e+01
  1.224771e+01    3.101596e+01
  1.229016e+01    3.136638e+01
  1.233261e+01    3.173273e+01
  1.237507e+01    3.209911e+01
  1.241752e+01    3.245657e+01
  1.245997e+01    3.286813e+01
  1.250242e+01    3.321533e+01
  1.254488e+01    3.358191e+01
  1.258733e+01    3.396461e+01
  1.262978e+01    3.435703e+01
  1.267223e+01    3.467522e+01
  1.271469e+01    3.505772e+01
  1.275714e+01    3.541138e+01
  1.279959e+01    3.579358e+01
  1.284204e+01    3.613113e+01
  1.288450e+01    3.648556e+01
  1.292695e+01    3.684377e+01
  1.296940e+01    3.718261e+01
  1.301185e+01    3.749174e+01
  1.305431e+01    3.784960e+01
  1.309676e+01    3.815509e+01
  1.313921e+01    3.846260e+01
  1.318167e+01    3.874474e+01
  1.322412e+01    3.903590e+01
  1.326657e+01    3.929546e+01
  1.330902e+01    3.956436e+01
  1.335148e+01    3.978783e+01
  1.339393e+01    4.002865e+01
  1.343638e+01    4.022823e+01
  1.347883e+01    4.042421e+01
  1.352129e+01    4.058008e+01
  1.356374e+01    4.073795e+01
  1.360619e+01    4.087653e+01
  1.364864e+01    4.097108e+01
  1.369110e+01    4.107089e+01
  1.373355e+01    4.112849e+01
  1.377600e+01    4.117276e+01
  1.381845e+01    4.119664e+01
  1.386091e+01    4.119610e+01
  1.390336e+01    4.118512e+01
  1.394581e+01    4.117187e+01
  1.398827e+01    4.110262e+01
  1.403072e+01    4.099076e+01
  1.407317e+01    4.085023e+01
  1.411562e+01    4.073407e+01
  1.415808e+01    4.056188e+01
  1.420053e+01    4.040553e+01
  1.424298e+01    4.020712e+01
  1.428543e+01    4.000681e+01
  1.432789e+01    3.976118e+01
